"OBJECTID_1"	"INCIDENT_ID"	"OFFENSE_ID"	"OFFENSE_CODE"	"OFFENSE_CODE_EXTENSION"	"OFFENSE_TYPE_ID"	"OFFENSE_CATEGORY_ID"	"FIRST_OCCURENCE_DATE"	"LAST_OCCURENCE_DATE"	"REPORTED_DATE"	"INCIDENT_ADDRESS"	"GEO_X"	"GEO_Y"	"GEO_LON"	"GEO_LAT"	"DISTRICT_ID"	"PRECINCT_ID"	"NEIGHBORHOOD_ID"	"BICYCLE_IND"	"PEDESTRIAN_IND"
117887	2017465383	201746538354410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 16:27:00"	""	"2017-07-14 16:35:00"	"S FEDERAL BLVD / W VIRGINIA AVE"	3133617	1682968	-105.0250876	39.7075897	4	412	"Westwood"	0	0
117888	2017465432	201746543254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 16:56:00"	""	"2017-07-14 18:11:00.000001"	"I225 HWYSB / I25 HWYSB"	3167559	1654761	-104.9051077	39.6296058	3	323	"Southmoor Park"	0	0
117889	2017465461	201746546154410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 16:45:00"	""	"2017-07-14 18:09:00"	"E 8TH AVE / N MONACO ST"	3165259	1691053	-104.91244	39.7292766	2	222	"Montclair"	0	0
117890	2017465470	201746547054410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 17:00:00"	""	"2017-07-14 17:00:00"	"N COLORADO BLVD / E 1ST AVE"	3157333	1686820	-104.9407119	39.7177936	3	312	"Cherry Creek"	0	0
117891	2017465542	201746554254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 17:35:00"	""	"2017-07-14 17:35:00"	"100 BLOCK W EVANS AVE"	3143723	1672406	-104.9893797	39.678444	3	313	"Overland"	0	0
117892	2017465556	201746555654010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-14 18:30:00"	""	"2017-07-14 18:30:00"	"1400 BLOCK N LIPAN ST"	3140207	1694301	-105.0014443	39.7386041	1	123	"Lincoln Park"	0	0
117893	2017465631	201746563154410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 18:06:00"	""	"2017-07-14 18:06:00"	"7200 BLOCK E 1ST AVE"	3167568	1687068	-104.9043237	39.7182958	3	321	"Lowry Field"	0	0
117894	2017465637	201746563754010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-14 17:39:00.000001"	""	"2017-07-14 18:48:00"	"200 BLOCK N COLORADO BLVD"	3157434	1687461	-104.9403388	39.7195516	3	321	"Hilltop"	0	0
117895	2017465647	201746564754010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-14 16:50:00"	""	"2017-07-14 18:50:00"	"27TH ST / STOUT ST"	3146266	1700723	-104.979769	39.7561403	2	211	"Five Points"	0	0
117896	2017465649	201746564954410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 18:12:00"	""	"2017-07-14 19:34:00"	"N VALLEJO ST / W 29TH AVE"	3136877	1701495	-105.0131479	39.7584025	1	113	"Highland"	0	0
117897	2017465680	201746568054010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-14 18:25:00"	""	"2017-07-14 18:53:00.000001"	"12100 BLOCK E ALBROOK DR"	3184295	1710261	-104.8442689	39.7816478	5	512	"Montbello"	0	0
117898	2017465759	201746575954010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-14 18:56:00.000001"	""	"2017-07-14 18:56:00.000001"	"200 BLOCK N FOX ST"	3142033	1687585	-104.9950841	39.7201397	3	311	"Baker"	0	0
117899	2017465793	201746579354410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 19:06:00"	""	"2017-07-14 19:06:00"	"I70 HWYWB / N BRIGHTON BLVD"	3149779	1709487	-104.9670916	39.7801429	2	212	"Elyria Swansea"	0	0
117900	2017465837	201746583754010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-14 19:22:00"	""	"2017-07-14 19:22:00"	"3996 E EVANS AVE"	3157232	1672185	-104.9413908	39.6776191	3	313	"University Park"	0	0
117901	2017465853	201746585354200	5420	0	"TRF-ACDT-DUI"	"TRAF - ACCIDENT - DUI/DUID"	"2017-07-14 19:28:00"	""	"2017-07-14 19:28:00"	"N CHAMBERS RD / E GVR BLVD"	3193977	1711100	-104.8097984	39.783754	5	512	"Montbello"	0	0
117902	2017465939	201746593954200	5420	0	"TRF-ACDT-DUI"	"TRAF - ACCIDENT - DUI/DUID"	"2017-07-14 20:12:00"	""	"2017-07-14 21:33:00"	"I25 HWYSB / WB 6TH TO SB I25 RAMP"	3137014	1689293	-105.0128934	39.7249037	3	311	"Baker"	0	0
117903	2017466134	201746613454410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-14 22:10:00"	""	"2017-07-14 22:57:00.000001"	"MARKET ST / 15TH ST"	3140735	1698068	-104.999493	39.7489372	6	612	"Union Station"	0	0
117904	2017466412	201746641254200	5420	0	"TRF-ACDT-DUI"	"TRAF - ACCIDENT - DUI/DUID"	"2017-07-14 23:30:00"	""	"2017-07-14 23:30:00"	"3000 BLOCK N MARION ST"	3148433	1702185	-104.9720315	39.7601194	2	211	"Whittier"	0	0
117905	2017466516	201746651654010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 00:15:00"	""	"2017-07-15 14:46:00"	"I25 HWYNB / 15TH ST"	3137743	1701013	-105.010077	39.7570665	1	113	"Highland"	0	0
117906	2017466733	201746673354010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 02:11:00"	""	"2017-07-15 02:11:00"	"W 8TH AVE / N XAVIER ST"	3126612	1690902	-105.0498452	39.7294681	1	122	"Villa Park"	0	0
117907	2017467185	201746718554410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 08:45:00"	""	"2017-07-15 09:19:00"	"3400 BLOCK N BRYANT ST"	3135250	1703902	-105.0188895	39.7650339	1	113	"Highland"	0	0
117908	2017467262	201746726254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 09:55:00"	""	"2017-07-15 10:47:00"	"I70 HWYWB / N HAVANA ST"	3178233	1708104	-104.8658907	39.7758447	5	511	"Stapleton"	0	0
117909	2017467370	201746737054410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 11:29:00"	""	"2017-07-15 12:37:00"	"W 23RD AVE / N CLAY ST"	3134816	1698862	-105.0205279	39.7512045	1	121	"Jefferson Park"	0	0
117910	2017467382	201746738254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 11:35:00"	""	"2017-07-15 11:36:00"	"2100 BLOCK S HOLLY ST"	3162728	1672411	-104.9218602	39.6781451	3	322	"Goldsmith"	0	0
117911	2017467423	201746742354010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 11:55:00.000001"	""	"2017-07-15 14:17:00"	"745 N COLORADO BLVD"	3157207	1690687	-104.9410752	39.7284114	2	213	"Congress Park"	0	0
117912	2017467440	201746744054410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 12:19:00"	""	"2017-07-15 12:19:00"	"E 11TH AVE / N LINCOLN ST"	3144523	1692592	-104.9861319	39.7338465	6	623	"Capitol Hill"	1	0
117913	2017467485	201746748554410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 12:55:00"	""	"2017-07-15 13:31:00"	"I25 HWYNB / W 6TH AVE"	3136918	1689574	-105.0132293	39.7256765	1	123	"Baker"	0	0
117914	2017467492	201746749254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 12:55:00"	""	"2017-07-15 13:01:00"	"I70 HWYWB / I25 HWYSB"	3143463	1709496	-104.989563	39.7802672	1	112	"Globeville"	0	0
117915	2017467679	201746767954010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 14:50:00"	""	"2017-07-15 16:12:00.000001"	"8090 E QUINCY AVE"	3170281	1657885	-104.8953702	39.6381327	3	323	"Hampden South"	0	0
117916	2017467712	201746771254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 15:05:00"	""	"2017-07-15 15:05:00"	"N NORTHFIELD QUEBEC ST / I270 HWYEB"	3168452	1710654	-104.9006282	39.783027	5	511	"Stapleton"	0	0
117917	2017467824	201746782454010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 11:40:00"	""	"2017-07-15 16:05:00"	"3000 E 1ST AVE"	3153340	1686622	-104.9549101	39.7173167	3	312	"Cherry Creek"	0	0
117918	2017467875	201746787554410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 16:30:00"	""	"2017-07-15 17:44:00"	"I25 HWYNB / S SANTA FE DR"	3141677	1682885	-104.9964423	39.7072426	3	311	"Baker"	0	0
117919	2017468018	201746801854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 17:28:00"	""	"2017-07-15 17:30:00"	"N SPEER BLVD / LARIMER ST"	3140197	1697145	-105.0014243	39.7464115	1	123	"Auraria"	0	0
117920	2017468047	201746804754410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 15:35:00"	""	"2017-07-15 18:47:00"	"1600 BLOCK STOUT ST"	3142689	1696944	-104.9925663	39.7458219	6	611	"CBD"	0	0
117921	2017468094	201746809454413	5441	3	"TRAF-ACCIDENT-"	"TRAF - ACCIDENT - POLICE"	"2017-07-15 17:00:00"	""	"2017-07-15 17:55:00.000001"	"3015 E COLFAX AVE"	3154159	1695062	-104.9518178	39.7404725	2	213	"City Park"	0	0
117922	2017468108	201746810854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 18:02:00"	""	"2017-07-15 19:02:00"	"S FEDERAL BLVD / W AMHERST AVE"	3133688	1667575	-105.0251212	39.6653312	4	423	"Harvey Park South"	0	0
117923	2017468179	201746817954010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 16:30:00"	""	"2017-07-15 18:39:00"	"W CROSS DR / S WADSWORTH BLVD"	3115141	1648935	-105.0912997	39.6144066	4	423	"Marston"	0	0
117924	2017468188	201746818854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 18:41:00"	""	"2017-07-15 18:41:00"	"I70 HWYEB / N HAVANA ST"	3178234	1708027	-104.865889	39.7756333	5	511	"Stapleton"	0	0
117925	2017468290	201746829054410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 19:20:00"	""	"2017-07-15 20:53:00"	"1200 BLOCK N SPEER BLVD"	3142060	1693294	-104.9948753	39.7358116	6	611	"Civic Center"	0	0
117926	2017468315	201746831554412	5441	2	"TRAF-ACCIDENT-"	"TRAF - ACCIDENT - FATAL"	"2017-07-15 19:36:00"	""	"2017-07-15 19:36:00"	"12300 BLOCK E ALBROOK DR"	3183998	1710284	-104.845325	39.7817168	5	512	"Montbello"	0	1
117927	2017468434	201746843454410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-13 16:00:00"	""	"2017-07-15 20:38:00"	"3440 N GILPIN ST"	3149879	1704096	-104.9668484	39.7653422	2	211	"Cole"	0	0
117928	2017468448	201746844854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-15 20:43:00"	""	"2017-07-16 00:31:00"	"500 BLOCK S DECATUR ST"	3134382	1682880	-105.0223702	39.7073371	4	412	"Athmar Park"	0	0
117929	2017468647	201746864754010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-15 22:15:00"	""	"2017-07-15 23:28:00"	"200 BLOCK S SHERIDAN BLVD"	3125805	1684907	-105.0528192	39.7130215	4	411	"Barnum West"	0	0
